Stadtteil	Marktmeister	Standort/Platz	Markttage	Verkaufszeit	Lat	Lon	Öffnungszeiten (OSM-Format)
Altenessen	Herr Beiteke	Altenessener Markt	Di, Fr	08:00 – 13:00 Uhr	51.4855138	7.0096347	Tu, Fr 08:00-13:00
Stoppenberg	Herr Schruhl	Barbarossaplatz	Mi	08:00 – 13:00 Uhr	51.4753582	7.039511	We 08:00-13:00
Stoppenberg	Herr Beiteke	Barbarossaplatz	Fr	08:00 – 13:00 Uhr	51.4753582	7.039511	Fr 08:00-13:00
Bredeney	Herr Schruhl	Bredeneyer-/Zeunerstraße	Fr	08:00 – 13:00 Uhr	51.4115285	6.9923934	Fr 08:00-13:01
Steele	Herr Teske	Dreiringplatz	Di, Do 08.00 – 13.00 Uhr / Sa 08:00 – 14:00 Uhr		51.4463023	7.0800252	Tu, Th 08:00-13:00; Sa 08:00-14:00
Altendorf	Herr Schruhl	Ehrenzeller Platz	Mi, Sa	08:00 – 13:00 Uhr	51.462832	6.9778908	We, Sa 08:00-13:00
Bergerhausen	Herr Beiteke	Elbestraße	Fr	14:00 – 18:00 Uhr	51.436556	7.0363365	Fr 14:00-18:00
Frintrop	Herr Schruhl	Frintroper Markt	Sa	08:00 – 13:00 Uhr	51.4711032	6.9203463	Sa 08:00-13:00
Frohnhausen	Herr Schruhl	Frohnhauser Markt	Di 11:00 – 18:00 Uhr / Do, Sa 08:00 – 13:00 Uhr		51.4469169	6.9787189	Tu 11:00-18:00; Th, Sa 08:00-13:00
Holsterhausen1	Herr Schruhl	Gemarken-/Savignystraße	Do	12:00 – 18:30 Uhr	51.4439623	6.9936883	Th 12:00-18:30
Horst	Herr Teske	Geschwister-Scholl-Straße	Do	08:00 – 13:00 Uhr	51.4357536	7.1115214	Th 08:00-13:00
Schonnebeck	Herr Teske	Karl-Meyer-Platz	Do, Sa	08:00 – 13:00 Uhr	51.4879859	7.0608713	Th, Sa 08:00-13:00
Karnap	Herr Schruhl	Karnaper Markt	Mi, Sa	08:00 – 13:00 Uhr	51.5225057	7.0092568	We, Sa 08:00-13:00
Katernberg	Herr Beiteke	Katernberger Markt	Di, Fr	08:00 – 13:00 Uhr	51.4971813	7.0485092	Tu, Fr 08:00-13:00
Margarethenhöhe	Herr Teske	Kleiner Markt	Mi 10:00 – 18:00 Uhr / Sa 08:00 – 13:00 Uhr		51.432616	6.9772267	We 10:00-18:00; Sa 08:00-13:00
Kray	Herr Teske	Krayer Markt	Mi, Fr	08:00 – 13:00 Uhr	51.4668777	7.0787459	We, Fr 08:00-13:00
Kupferdreh	Herr Teske	Kupferdreher Markt	Mi, Fr	08:00 – 13:00 Uhr	51.3908989	7.0821605	We, Fr 08:00-13:00
Stadtmitte2	Herr Teske	Marktkirche/Flachsmarkt	Di, Fr	09:00 – 18:00 Uhr	51.457116	7.012366	Tu, Fr 09:00-18:00
Borbeck	Herr Schruhl	Neuer Markt	Di, Fr	08:00 – 13:00 Uhr			Tu, Fr 08:00-13:00
Burgaltendorf	Herr Teske	Platz a.d. Alten Hauptstraße	Do	08:00 – 15:00 Uhr	51.4154862	7.1147175	Th 08:00-15:00
Werden	Herr Schruhl	Platz a.d. Brückstraße	Sa	08:00 – 13:00 Uhr	51.3880605	7.0076201	Sa 08:00-13:00
Kettwig	Herr Schruhl	Platz a.d. Hauptstraße	Di, Fr	08:00 – 13:00 Uhr	51.3642459	6.9369876	Tu, Fr 08:00-13:00
Südostviertel	Herr Teske	Platz a.d. Storpstr.	Do	14:00 – 18:00 Uhr	51.4541795	7.0352224	Th 14:00-18:00
Haarzopf	Herr Schruhl	Raadter Straße	Fr	08:00 – 18:00 Uhr	51.413849	6.9536418	Fr 08:00-18:00
Rüttenscheid	Herr Teske	Rüttenscheider Platz	Mi 08:00 – 13:00 Uhr / Sa 08:00 – 14:00 Uhr		51.4377608	7.0083742	We 08:00-13:00; Sa 08:00-14:00
Überruhr	Herr Teske	Schulte-Hinsel/Neptunstr.	Di, Fr	08:00 – 13:00 Uhr	51.42936	7.0768704	Tu, Fr 08:00-13:00
Stadtwald	Herr Teske	Stadtwaldplatz	Di, Fr	08:00 – 13:00 Uhr	51.4200037	7.0256481	Tu, Fr 08:00-13:00